Image Name,Class,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V
r(1).jpg,matang,2.98255,51.678475,40.68151875,13.91943858413321,82.37103326827213,69.73488923003737
r(10).jpg,matang,3.29316875,56.958675,40.14556875,14.417740229817053,94.64243256725749,69.21110706368601
r(11).jpg,matang,2.847225,44.57395625,31.30469375,12.582134051891359,85.46647708573127,60.74001506819931
r(12).jpg,matang,2.89274375,47.56751875,32.6868625,13.195890547686608,88.24156916493938,62.4397588272417
r(13).jpg,matang,3.4496625,54.969225,40.0245875,14.087169379853558,93.23226186742124,69.86895453593934
r(14).jpg,matang,3.86545,65.00861875,41.85858125,15.518554500885221,100.28880511782901,67.96082452046406
r(15).jpg,matang,3.23538125,49.11330625,34.2639625,13.744719055573057,88.82297587313384,63.43772063047204
r(16).jpg,matang,4.00103125,59.7041625,41.3485875,14.899895727368929,97.15346773376889,70.38677707319131
r(17).jpg,matang,3.91040625,80.90200625,64.423225,14.31086053352231,104.95987056228408,85.80193284887828
r(18).jpg,matang,4.0576625,58.9742,38.3089875,15.681738584601629,96.50496144953325,66.3285155625079
r(19).jpg,matang,3.9852375,59.85985,38.430325,15.542528979179021,98.56838569229642,66.51199606376782
r(2).jpg,matang,3.6667625,55.85858125,40.72051875,14.550125953698046,95.95222545343127,72.31265982856787
r(20).jpg,matang,4.3286125,68.52133125,46.65905625,16.529192775941006,104.11212481018572,75.78609099707843
r(21).jpg,matang,3.60415625,50.08978125,35.11948125,14.26228203955548,89.12177656499989,63.76419424709593
r(22).jpg,matang,3.31100625,50.54416875,33.558275,14.012409905616618,91.26928829898988,62.61668750440655
r(23).jpg,matang,4.43441875,64.59603125,40.350225,16.850721767911576,102.56616451349224,68.71331124642028
r(24).jpg,matang,3.55469375,60.8177,44.42145,14.108429965596937,97.81479791787096,73.95625830436111
r(25).jpg,matang,4.63686875,70.75900625,44.8364375,15.606075481853281,105.39367131513654,71.70651729305716
r(26).jpg,matang,4.03260625,59.5220875,37.8412125,15.508417249433743,96.92230689902544,66.58170065066602
r(27).jpg,matang,3.273075,51.14995,31.36601875,13.638331277854116,92.45386425121758,61.32930813668135
r(28).jpg,matang,3.45028125,47.82319375,32.83998125,13.776252322244186,88.04946824538257,64.09954163445005
r(29).jpg,matang,3.9689,60.37028125,40.05165625,14.808437891621477,97.12500861291764,68.73831410041731
r(3).jpg,matang,3.8983625,66.15170625,47.73911875,14.284651109458624,100.01496883689155,74.5867011251819
r(30).jpg,matang,4.43376875,59.93560625,40.26954375,15.92330488379345,94.94849207428419,65.55221994647897
r(31).jpg,matang,4.69501875,62.10680625,40.07125,16.7942700105718,97.66469896366306,66.94707862141888
r(32).jpg,matang,3.32264375,48.57223125,30.96794375,13.381594440158107,89.20009981868013,58.91011917441457
r(33).jpg,matang,5.14035,69.1997875,38.61125,17.817902215924416,101.20966960938544,62.81016616305222
r(34).jpg,matang,5.8762125,77.60366875,39.24033125,18.895451546775814,106.005991942738,61.77315889318927
r(35).jpg,matang,4.07188125,59.76253125,32.752125,15.776400550694438,101.29155321309858,60.902208974545985
r(36).jpg,matang,3.54328125,43.31669375,24.04403125,14.754379916949256,86.43662764618023,49.625945129558794
r(37).jpg,matang,3.99586875,59.29975625,32.3489125,16.343722852615606,101.8076685590642,61.08707297847311
r(38).jpg,matang,3.69045625,50.4164875,27.6377875,15.414864219862526,94.27957341404318,55.980200871467865
r(39).jpg,matang,3.834225,53.364075,28.58400625,15.74032579556347,96.80922134235635,56.612444793117646
r(4).jpg,matang,3.636675,64.53813125,47.113225,14.31101917909804,97.26569986919465,72.1179006390677
r(40).jpg,matang,3.60223125,51.77678125,29.3181125,14.773056514207221,94.88458155635043,56.960957830221304
r(41).jpg,matang,3.81935,53.24948125,27.44458125,14.29446581993906,94.31072461740145,50.19651398512707
r(42).jpg,matang,3.58936875,52.17618125,35.06690625,14.666862760219901,91.04332809959446,64.82286174481949
r(43).jpg,matang,3.58309375,50.70976875,33.8627625,15.022174707016045,90.87769203470015,64.18930959177362
r(44).jpg,matang,3.59683125,48.93465625,29.55410625,15.39301704373594,91.09942006655828,59.177015998740444
r(45).jpg,matang,3.64204375,55.55535,35.11299375,14.680295844197753,95.4505111895802,64.48205439249926
r(46).jpg,matang,3.98819375,51.4908625,29.24570625,16.804216862524598,95.08238607400864,59.85350927205375
r(47).jpg,matang,3.2016625,45.0017125,27.9999,14.082710400929768,87.9830387605667,58.0350997241724
