Image Name,Class,Mean_B,Mean_G,Mean_R,Std_B,Std_G,Std_R
r(1).jpg,matang,14.7863625,18.68943125,40.65293125,27.40123348529793,34.7729586504269,69.75092776814698
r(10).jpg,matang,11.0454125,15.30281875,40.1155125,27.683974835754345,33.9711525717633,69.22792396762884
r(11).jpg,matang,10.349,14.58078125,31.28294375,27.76528451137516,33.774619900006066,60.75072149027617
r(12).jpg,matang,9.41019375,13.3089875,32.6630125,24.87288327351077,31.001808846012622,62.45173167685956
r(13).jpg,matang,11.550375,16.722325,39.994925,28.843675430859626,35.34395399629721,69.88535200051408
r(14).jpg,matang,10.12389375,15.6101,41.82196875,25.678481148420424,31.582622444782935,67.98261008244289
r(15).jpg,matang,10.57669375,15.1236875,34.2360375,26.918038200601263,33.307440631223315,63.45215883888885
r(16).jpg,matang,11.01135,18.18175,41.31490625,28.20912833067327,36.07196718969477,70.40587974585127
r(17).jpg,matang,15.85558125,23.75899375,64.39114375,34.09523517989927,41.458596783227584,85.82548674685083
r(18).jpg,matang,10.2112375,16.2605625,38.27189375,26.23095435203401,33.486458937679885,66.349148581937
r(19).jpg,matang,9.10835625,15.37265625,38.39340625,24.766084221643553,31.455676293322185,66.53257576380877
r(2).jpg,matang,10.50874375,17.09788125,40.68643125,29.696272468863167,36.62436928485879,72.3311622392483
r(20).jpg,matang,9.8934875,17.36550625,46.6161125,27.427960735120184,35.493763521647836,75.81171260356662
r(21).jpg,matang,11.31531875,16.5266625,35.08749375,27.50124393253293,34.07720538149666,63.781115650235485
r(22).jpg,matang,9.39550625,14.2347125,33.52885625,25.104703116274855,31.385444835809487,62.631773324884215
r(23).jpg,matang,8.24305625,15.11106875,40.3061625,23.719927643419574,30.83874117863087,68.73828619865769
r(24).jpg,matang,11.37453125,17.84368125,44.39090625,29.444128788161358,36.695187807128846,73.97398519789492
r(25).jpg,matang,7.80819375,17.4676125,44.7979625,22.64106510550996,31.217640862953665,71.72973968902517
r(26).jpg,matang,9.0519,15.2309125,37.80444375,24.164506903534004,31.946633890197564,66.60177157176845
r(27).jpg,matang,6.98569375,12.280325,31.3397125,20.217993881223787,27.31349058421436,61.34219221242937
r(28).jpg,matang,9.67130625,15.3895625,32.811725,25.89319320144011,33.59763464233778,64.11342675311911
r(29).jpg,matang,9.83055625,16.53468125,40.0172125,25.228837320905026,33.20824667471456,68.75764205705867
r(3).jpg,matang,12.2424625,19.49669375,47.70703125,29.527478506205753,36.94071773223627,74.6066687740548
r(30).jpg,matang,12.63858125,18.72688125,40.2301125,29.011068926118213,35.0938253101283,65.57558519170966
r(31).jpg,matang,11.60718125,18.12785625,40.0264125,28.55365234396609,35.24971218360915,66.97291459904162
r(32).jpg,matang,8.30469375,13.72779375,30.94040625,21.53340034617402,28.506794979577347,58.92387359829674
r(33).jpg,matang,10.88170625,17.02890625,38.56315625,26.900252096199818,33.34026050704033,62.838698755593725
r(34).jpg,matang,10.814125,17.51955625,39.18454375,26.165032973153522,32.51783306978582,61.807386187716986
r(35).jpg,matang,5.8387625,12.3389625,32.71266875,19.376923194086253,26.75013139075768,60.92249879550085
r(36).jpg,matang,7.6932625,11.8192125,24.00884375,22.534192066866968,27.85080144051184,49.64191112891327
r(37).jpg,matang,5.27915625,11.3318375,32.3070125,18.89841006641825,25.679748516585814,61.10818802188207
r(38).jpg,matang,6.05266875,11.04936875,27.6009625,19.96941679800241,26.3407684299021,55.99738493063071
r(39).jpg,matang,6.20326875,11.29151875,28.5422125,20.729510379263306,26.930119950869933,56.6324432688181
r(4).jpg,matang,14.192875,19.95605625,47.083475,31.569176212535073,37.696654860891826,72.1367738702587
r(40).jpg,matang,6.9646125,12.1953875,29.2833125,22.021431271054947,28.165817913255225,56.97794822584135
r(41).jpg,matang,7.47385,12.75236875,27.4122625,20.79814724148156,26.33018510218538,50.21326968167641
r(42).jpg,matang,10.34178125,15.2916625,35.03208125,26.438408222294935,33.34808608429566,64.84088622969972
r(43).jpg,matang,9.87359375,14.665175,33.82938125,26.637276797951884,33.0496541921177,64.20619213134732
r(44).jpg,matang,8.2509875,12.654025,29.51871875,24.56550106902863,30.207724199268924,59.19384606614481
r(45).jpg,matang,8.81823125,14.47230625,35.08045625,24.5664825803801,31.732958939525457,64.49909869939755
